id,title,source,qualityState,reasonCode,physicalSanity,manualStatus,manualReason,bannerColumnSpan,bannerPixelRatio,url
2037,9th Dawn III,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2hpn.jpg
2077,American Hero,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co3w2u.jpg
1567,Aokana - Four Rhythms Across the Blue,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t16.jpg
1579,Back to the Future: The Game,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co5z46.jpg
2518,Beyond Enemy Lines 2: Enhanced Edition,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co6cm5.jpg
2068,Beyond the Ice Palace 2,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co82o9.jpg
2521,Bite the Bullet,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2jbp.jpg
1964,Blast Brigade vs. the Evil Legion of Dr. Cread,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2zba.jpg
2533,Bounty Battle,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co20yg.jpg
1582,Breach & Clear: Deadline,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/m7hmnkm28lspx8vhr5w4.jpg
1849,BROK: The InvestiGator,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2koj.jpg
238,Caveman Warriors,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1iep.jpg
2094,Chained Echoes,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co544u.jpg
2415,Coffee Crisis,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co23me.jpg
2298,Colossal Cave,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co633u.jpg
2299,Contra: Operation Galuga,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co72z7.jpg
269,Corpse Killer: 25th Anniversary Edition,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co3cz6.jpg
275,Crawl,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1lrj.jpg
298,Darius Cozmic Collection: Arcade,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co4vlw.jpg
299,Darius Cozmic Collection: Console,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2yrq.jpg
300,Dark Devotion,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t7g.jpg
2042,Dark Nights with Poe & Munro,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2911.jpg
322,Dead Alliance,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co24nr.jpg
1600,Deer Simulator,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co7jli.jpg
2417,Dogchild,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2pxr.jpg
402,Dragon Fantasy: The Black Tome of Ice,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wu5.jpg
2039,Dragon Lapis,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2kej.jpg
1608,Drive!Drive!Drive!,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2pzv.jpg
2266,DUSK,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co4b39.jpg
1610,Earthlock,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1rv0.jpg
2419,Eldrador Creatures,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t67.jpg
1950,Empire of Angels IV,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co214j.jpg
2306,Enclave HD,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co6r0t.jpg
454,Factotum 90,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co24jd.jpg
473,fault milestone one,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/coapmt.jpg
1807,Five Dates,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2kp0.jpg
1622,Fury Unleashed,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2dis.jpg
1624,Futuridium EP Deluxe,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2q7j.jpg
1625,Galak-Z: The Void,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2170.jpg
1938,Gekido Kintaro's Revenge,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tn6.jpg
525,Geometry Wars 3: Dimensions,LEGACY_IGDB,REVIEW,key_art_only,VERIFY,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2q8e.jpg
